seed,brain,catches_per_1000,thirst_deaths,hunger_deaths,avg_lifespan,first_catch
0,RBS,4.666667,0,0,3000.00,182
0,QL,7.000000,0,0,3000.00,177
0,MC,6.000000,2,0,2270.67,68
1,RBS,4.333333,1,0,2995.33,68
1,QL,11.000000,0,0,3000.00,159
1,MC,5.000000,2,0,1926.67,300
2,RBS,3.333333,1,1,2433.33,46
2,QL,9.333333,0,1,2373.00,44
2,MC,4.333333,2,1,1337.00,74
3,RBS,3.333333,0,0,3000.00,444
3,QL,5.000000,0,1,2433.33,320
3,MC,6.333333,1,0,2355.67,51
4,RBS,2.666667,0,1,2609.67,86
4,QL,5.333333,1,0,2457.67,78
4,MC,2.666667,2,1,1818.00,157
5,RBS,4.000000,0,0,3000.00,19
5,QL,8.666667,1,0,2773.00,16
5,MC,3.333333,2,0,2282.00,33
6,RBS,8.666667,0,0,3000.00,4
6,QL,9.000000,0,0,3000.00,4
6,MC,3.333333,3,0,1795.33,4
7,RBS,5.000000,0,0,3000.00,310
7,QL,7.333333,0,0,3000.00,708
7,MC,2.000000,0,2,1710.67,528
8,RBS,6.666667,0,0,3000.00,16
8,QL,6.000000,1,1,2084.00,18
8,MC,10.333333,1,0,2435.33,17
9,RBS,4.666667,0,0,3000.00,72
9,QL,5.666667,1,1,2146.33,115
9,MC,4.666667,2,0,2318.67,157
10,RBS,5.000000,0,0,3000.00,15
10,QL,8.333333,0,0,3000.00,47
10,MC,3.333333,2,1,1646.00,27
11,RBS,3.333333,0,0,3000.00,71
11,QL,5.333333,1,0,2911.33,400
11,MC,2.333333,3,0,1155.00,58
12,RBS,3.666667,0,0,3000.00,69
12,QL,5.333333,1,0,2782.00,190
12,MC,1.666667,2,1,1173.33,138
13,RBS,3.666667,0,0,3000.00,1
13,QL,8.666667,0,1,2355.33,33
13,MC,9.333333,1,0,2969.00,1
14,RBS,1.666667,1,1,2419.67,94
14,QL,5.000000,1,0,2448.67,58
14,MC,6.666667,1,1,2695.33,154
15,RBS,6.666667,0,0,3000.00,36
15,QL,6.000000,0,0,3000.00,36
15,MC,3.666667,3,0,1544.33,31
16,RBS,7.333333,1,0,2964.33,28
16,QL,8.666667,1,0,2848.00,28
16,MC,5.666667,2,0,1950.00,28
17,RBS,4.000000,0,0,3000.00,32
17,QL,5.000000,1,1,1955.00,163
17,MC,1.666667,2,1,1715.33,29
18,RBS,4.333333,1,0,2586.33,23
18,QL,9.333333,0,0,3000.00,83
18,MC,3.666667,1,1,1910.67,23
19,RBS,2.333333,0,2,1944.67,54
19,QL,8.333333,1,0,2799.33,88
19,MC,2.666667,3,0,1346.00,85
20,RBS,6.666667,0,0,3000.00,8
20,QL,5.666667,1,0,2928.67,8
20,MC,6.333333,1,1,2132.67,78
21,RBS,2.666667,1,0,2466.33,91
21,QL,6.333333,0,1,2373.00,532
21,MC,3.000000,2,1,1616.00,549
22,RBS,5.000000,0,0,3000.00,292
22,QL,5.000000,1,0,2653.00,24
22,MC,3.333333,3,0,1746.33,240
23,RBS,5.666667,0,0,3000.00,198
23,QL,5.000000,1,0,2680.67,78
23,MC,4.000000,2,0,1931.33,311
24,RBS,2.000000,0,1,2355.33,14
24,QL,6.333333,1,1,1788.67,14
24,MC,0.666667,2,1,1066.00,33
25,RBS,4.333333,0,0,3000.00,61
25,QL,4.666667,0,1,2433.33,61
25,MC,1.666667,2,1,1508.00,378
26,RBS,3.333333,0,0,3000.00,26
26,QL,6.666667,0,1,2433.33,26
26,MC,5.000000,2,0,1710.67,26
27,RBS,3.666667,1,0,2355.33,17
27,QL,7.666667,1,0,2355.33,16
27,MC,2.333333,2,1,1437.00,19
28,RBS,2.666667,0,0,3000.00,388
28,QL,6.333333,1,0,2621.67,18
28,MC,5.333333,2,0,2315.33,118
29,RBS,2.666667,2,0,2079.67,62
29,QL,5.333333,2,0,2212.33,222
29,MC,3.666667,1,0,2355.33,89
30,RBS,8.333333,0,0,3000.00,8
30,QL,5.333333,1,0,2835.67,320
30,MC,4.333333,1,1,1788.67,178
31,RBS,7.333333,0,0,3000.00,52
31,QL,8.000000,0,0,3000.00,27
31,MC,9.333333,2,0,1759.67,39
32,RBS,4.333333,0,0,3000.00,15
32,QL,8.666667,1,0,2511.00,110
32,MC,2.000000,2,1,1486.00,28
33,RBS,6.666667,0,1,2576.33,19
33,QL,12.333333,2,0,1981.67,19
33,MC,2.666667,2,0,1739.00,48
34,RBS,5.666667,1,0,2355.33,12
34,QL,9.666667,0,0,3000.00,65
34,MC,4.333333,1,1,1710.67,56
35,RBS,3.333333,0,0,3000.00,2
35,QL,6.000000,0,0,3000.00,21
35,MC,3.666667,3,0,1579.33,4
36,RBS,5.333333,0,0,3000.00,1
36,QL,7.333333,1,0,2355.33,1
36,MC,4.000000,3,0,1468.67,1
37,RBS,5.333333,0,0,3000.00,8
37,QL,4.000000,1,1,2024.00,266
37,MC,4.333333,3,0,2324.33,8
38,RBS,4.666667,0,0,3000.00,86
38,QL,11.000000,0,1,2355.33,103
38,MC,3.666667,2,1,2212.33,531
39,RBS,5.000000,0,0,3000.00,39
39,QL,6.666667,1,0,2926.33,39
39,MC,1.666667,2,1,1363.67,39
40,RBS,3.333333,0,0,3000.00,183
40,QL,9.333333,1,0,2983.67,311
40,MC,4.666667,2,0,1826.33,205
41,RBS,4.333333,0,0,3000.00,170
41,QL,6.000000,0,0,3000.00,381
41,MC,2.000000,2,1,1241.67,66
42,RBS,6.333333,0,0,3000.00,12
42,QL,12.000000,0,0,3000.00,12
42,MC,7.333333,2,0,2740.00,13
43,RBS,5.333333,0,0,3000.00,24
43,QL,9.000000,1,0,2719.67,24
43,MC,1.000000,3,0,1221.67,36
44,RBS,4.666667,0,1,2433.33,221
44,QL,15.333333,0,0,3000.00,132
44,MC,3.333333,2,0,2378.33,144
45,RBS,2.333333,1,1,1710.67,1
45,QL,8.000000,0,1,2355.33,1
45,MC,6.666667,0,2,1727.67,1
46,RBS,5.666667,0,1,3000.00,47
46,QL,4.333333,1,0,2885.33,92
46,MC,2.666667,2,1,1762.00,60
47,RBS,4.333333,0,1,2433.33,23
47,QL,6.000000,0,1,2355.33,100
47,MC,3.333333,2,1,1535.33,28
48,RBS,3.000000,0,1,2355.33,297
48,QL,7.333333,1,1,1906.67,394
48,MC,1.000000,2,1,1369.67,156
49,RBS,5.333333,0,1,2586.67,40
49,QL,10.666667,0,0,3000.00,130
49,MC,2.000000,2,1,1250.33,125
