seed,brain,catches_per_1000,thirst_deaths,hunger_deaths,avg_lifespan,first_catch
0,RBS,3.333333,0,0,3000.00,58
0,QL,1.666667,2,1,1239.33,53
0,MC,1.666667,3,0,1510.67,59
1,RBS,3.666667,1,0,2893.00,185
1,QL,2.666667,2,1,1846.33,99
1,MC,1.333333,2,1,1328.33,154
2,RBS,2.666667,0,0,3000.00,44
2,QL,3.333333,1,1,1931.00,139
2,MC,2.000000,2,1,1370.67,89
3,RBS,5.000000,0,1,2842.67,53
3,QL,2.000000,4,0,1568.33,248
3,MC,5.333333,3,0,2137.33,205
4,RBS,2.333333,0,1,2355.33,145
4,QL,4.333333,2,1,1635.00,280
4,MC,2.333333,3,0,1147.67,189
5,RBS,6.666667,0,0,3000.00,19
5,QL,4.333333,3,0,2192.67,215
5,MC,1.666667,2,1,1144.00,38
6,RBS,7.000000,1,0,3000.00,4
6,QL,2.000000,2,1,1066.00,4
6,MC,3.666667,3,0,1346.00,4
7,RBS,6.333333,0,0,3000.00,250
7,QL,3.333333,3,0,1908.67,327
7,MC,1.666667,3,0,1274.00,225
8,RBS,4.000000,1,0,2493.00,15
8,QL,3.000000,0,2,1788.67,21
8,MC,1.000000,2,1,1220.67,15
9,RBS,2.333333,0,1,2433.33,139
9,QL,0.333333,1,2,1239.33,908
9,MC,2.333333,3,0,1801.00,86
10,RBS,5.666667,0,0,3000.00,15
10,QL,4.333333,2,1,1476.00,15
10,MC,3.333333,3,0,1319.33,15
11,RBS,4.333333,1,0,2599.67,54
11,QL,7.333333,2,0,2172.67,48
11,MC,9.000000,1,0,2355.33,76
12,RBS,6.333333,0,0,3000.00,45
12,QL,2.333333,3,0,1244.33,121
12,MC,3.666667,2,1,2037.33,62
13,RBS,4.333333,1,0,2355.33,1
13,QL,3.333333,3,0,1066.00,1
13,MC,2.000000,3,0,1346.00,1
14,RBS,6.000000,1,0,2355.33,54
14,QL,1.333333,2,1,1123.67,185
14,MC,6.000000,2,0,2139.67,91
15,RBS,6.000000,0,1,3000.00,36
15,QL,2.000000,2,1,1228.67,35
15,MC,4.000000,1,1,1788.00,75
16,RBS,4.333333,1,0,3000.00,28
16,QL,2.333333,3,0,1150.33,28
16,MC,4.333333,2,1,1999.33,28
17,RBS,4.333333,1,0,2724.33,32
17,QL,8.000000,1,1,2202.00,18
17,MC,2.000000,3,0,1323.67,12
18,RBS,4.666667,1,0,2599.67,23
18,QL,3.333333,3,0,1324.33,47
18,MC,2.000000,3,0,1280.33,96
19,RBS,4.000000,1,0,3000.00,54
19,QL,2.333333,2,1,1066.00,117
19,MC,2.333333,3,0,1290.00,205
20,RBS,3.666667,1,0,2595.33,8
20,QL,5.333333,2,1,2114.00,50
20,MC,1.000000,3,0,1163.67,8
21,RBS,5.000000,1,0,2355.33,55
21,QL,2.333333,3,0,1066.00,125
21,MC,2.333333,3,0,1443.67,307
22,RBS,2.666667,2,0,2617.33,231
22,QL,4.666667,2,1,2005.33,30
22,MC,6.333333,2,0,1900.33,246
23,RBS,7.000000,0,0,3000.00,43
23,QL,1.666667,3,0,1311.00,196
23,MC,3.333333,3,0,1682.00,83
24,RBS,8.000000,0,1,3000.00,14
24,QL,6.666667,2,0,2487.33,14
24,MC,4.000000,2,1,1463.00,243
25,RBS,3.000000,0,1,2751.00,131
25,QL,3.333333,3,0,2216.33,81
25,MC,3.000000,3,0,1213.33,38
26,RBS,5.333333,1,0,2604.33,26
26,QL,3.000000,2,1,1251.33,26
26,MC,2.333333,2,0,1710.67,26
27,RBS,7.333333,0,0,3000.00,18
27,QL,4.666667,3,0,1732.00,24
