MC Train SOI (tho RBS): 3000 ep, 800 step/ep. Bang soi: 0 trang thai
ep     60 | eps 0.98 | catches/ep 5.13 | wolfStates 602 | rabbitStates 671
ep    120 | eps 0.95 | catches/ep 4.38 | wolfStates 649 | rabbitStates 671
ep    180 | eps 0.93 | catches/ep 5.13 | wolfStates 657 | rabbitStates 671
ep    240 | eps 0.90 | catches/ep 4.50 | wolfStates 671 | rabbitStates 671
ep    300 | eps 0.88 | catches/ep 4.37 | wolfStates 680 | rabbitStates 671
ep    360 | eps 0.85 | catches/ep 4.82 | wolfStates 694 | rabbitStates 671
ep    420 | eps 0.83 | catches/ep 5.13 | wolfStates 696 | rabbitStates 671
ep    480 | eps 0.80 | catches/ep 4.65 | wolfStates 706 | rabbitStates 671
ep    540 | eps 0.78 | catches/ep 5.08 | wolfStates 709 | rabbitStates 671
ep    600 | eps 0.75 | catches/ep 5.13 | wolfStates 713 | rabbitStates 671
ep    660 | eps 0.73 | catches/ep 5.35 | wolfStates 717 | rabbitStates 671
ep    720 | eps 0.70 | catches/ep 4.83 | wolfStates 723 | rabbitStates 671
ep    780 | eps 0.68 | catches/ep 5.20 | wolfStates 733 | rabbitStates 671
ep    840 | eps 0.65 | catches/ep 5.08 | wolfStates 738 | rabbitStates 671
ep    900 | eps 0.63 | catches/ep 5.72 | wolfStates 761 | rabbitStates 671
ep    960 | eps 0.60 | catches/ep 5.08 | wolfStates 779 | rabbitStates 671
ep   1020 | eps 0.58 | catches/ep 4.83 | wolfStates 791 | rabbitStates 671
ep   1080 | eps 0.55 | catches/ep 5.22 | wolfStates 793 | rabbitStates 671
ep   1140 | eps 0.53 | catches/ep 4.92 | wolfStates 803 | rabbitStates 671
ep   1200 | eps 0.50 | catches/ep 5.18 | wolfStates 816 | rabbitStates 671
ep   1260 | eps 0.48 | catches/ep 5.55 | wolfStates 862 | rabbitStates 671
ep   1320 | eps 0.45 | catches/ep 5.10 | wolfStates 864 | rabbitStates 671
ep   1380 | eps 0.43 | catches/ep 5.12 | wolfStates 868 | rabbitStates 671
ep   1440 | eps 0.40 | catches/ep 5.77 | wolfStates 870 | rabbitStates 671
ep   1500 | eps 0.38 | catches/ep 5.72 | wolfStates 870 | rabbitStates 671
ep   1560 | eps 0.35 | catches/ep 5.30 | wolfStates 870 | rabbitStates 671
ep   1620 | eps 0.33 | catches/ep 5.38 | wolfStates 871 | rabbitStates 671
ep   1680 | eps 0.30 | catches/ep 5.80 | wolfStates 880 | rabbitStates 671
ep   1740 | eps 0.28 | catches/ep 5.30 | wolfStates 892 | rabbitStates 671
ep   1800 | eps 0.25 | catches/ep 5.25 | wolfStates 896 | rabbitStates 671
ep   1860 | eps 0.23 | catches/ep 5.40 | wolfStates 903 | rabbitStates 671
ep   1920 | eps 0.20 | catches/ep 6.27 | wolfStates 904 | rabbitStates 671
ep   1980 | eps 0.18 | catches/ep 5.72 | wolfStates 907 | rabbitStates 671
ep   2040 | eps 0.15 | catches/ep 5.03 | wolfStates 909 | rabbitStates 671
ep   2100 | eps 0.13 | catches/ep 6.33 | wolfStates 910 | rabbitStates 671
ep   2160 | eps 0.10 | catches/ep 5.83 | wolfStates 912 | rabbitStates 671
ep   2220 | eps 0.08 | catches/ep 5.25 | wolfStates 914 | rabbitStates 671
ep   2280 | eps 0.05 | catches/ep 5.20 | wolfStates 915 | rabbitStates 671
ep   2340 | eps 0.05 | catches/ep 5.42 | wolfStates 915 | rabbitStates 671
ep   2400 | eps 0.05 | catches/ep 5.73 | wolfStates 915 | rabbitStates 671
ep   2460 | eps 0.05 | catches/ep 5.28 | wolfStates 917 | rabbitStates 671
ep   2520 | eps 0.05 | catches/ep 6.60 | wolfStates 920 | rabbitStates 671
ep   2580 | eps 0.05 | catches/ep 5.40 | wolfStates 928 | rabbitStates 671
ep   2640 | eps 0.05 | catches/ep 5.70 | wolfStates 931 | rabbitStates 671
ep   2700 | eps 0.05 | catches/ep 6.05 | wolfStates 931 | rabbitStates 671
ep   2760 | eps 0.05 | catches/ep 6.75 | wolfStates 934 | rabbitStates 671
ep   2820 | eps 0.05 | catches/ep 5.43 | wolfStates 934 | rabbitStates 671
ep   2880 | eps 0.05 | catches/ep 5.72 | wolfStates 934 | rabbitStates 671
ep   2940 | eps 0.05 | catches/ep 6.12 | wolfStates 934 | rabbitStates 671
ep   3000 | eps 0.05 | catches/ep 5.95 | wolfStates 935 | rabbitStates 671
Xong 5937.5s (catches/ep 5.38). Luu /Volumes/DEV/OOP JAVA/PRJ/OOP-PRJ/qtables/mc_wolf.qtable (935 trang thai)
