MC Train SOI (tho RBS): 800 ep, 800 step/ep. Bang soi: 0 trang thai
ep     16 | eps 0.98 | catches/ep 5.00 | wolfStates 498 | rabbitStates 671
ep     32 | eps 0.95 | catches/ep 5.56 | wolfStates 549 | rabbitStates 671
ep     48 | eps 0.93 | catches/ep 5.06 | wolfStates 575 | rabbitStates 671
ep     64 | eps 0.90 | catches/ep 4.13 | wolfStates 591 | rabbitStates 671
ep     80 | eps 0.88 | catches/ep 3.88 | wolfStates 596 | rabbitStates 671
ep     96 | eps 0.85 | catches/ep 5.19 | wolfStates 603 | rabbitStates 671
ep    112 | eps 0.83 | catches/ep 5.19 | wolfStates 624 | rabbitStates 671
ep    128 | eps 0.80 | catches/ep 6.13 | wolfStates 639 | rabbitStates 671
ep    144 | eps 0.78 | catches/ep 5.38 | wolfStates 653 | rabbitStates 671
ep    160 | eps 0.75 | catches/ep 4.69 | wolfStates 660 | rabbitStates 671
ep    176 | eps 0.73 | catches/ep 4.50 | wolfStates 661 | rabbitStates 671
ep    192 | eps 0.70 | catches/ep 5.63 | wolfStates 668 | rabbitStates 671
ep    208 | eps 0.68 | catches/ep 4.25 | wolfStates 684 | rabbitStates 671
ep    224 | eps 0.65 | catches/ep 4.25 | wolfStates 686 | rabbitStates 671
ep    240 | eps 0.63 | catches/ep 4.31 | wolfStates 710 | rabbitStates 671
ep    256 | eps 0.60 | catches/ep 5.00 | wolfStates 712 | rabbitStates 671
ep    272 | eps 0.58 | catches/ep 4.69 | wolfStates 717 | rabbitStates 671
ep    288 | eps 0.55 | catches/ep 4.13 | wolfStates 726 | rabbitStates 671
ep    304 | eps 0.53 | catches/ep 5.00 | wolfStates 726 | rabbitStates 671
ep    320 | eps 0.50 | catches/ep 4.94 | wolfStates 735 | rabbitStates 671
ep    336 | eps 0.48 | catches/ep 3.94 | wolfStates 737 | rabbitStates 671
ep    352 | eps 0.45 | catches/ep 5.06 | wolfStates 741 | rabbitStates 671
ep    368 | eps 0.43 | catches/ep 6.00 | wolfStates 754 | rabbitStates 671
ep    384 | eps 0.40 | catches/ep 6.00 | wolfStates 754 | rabbitStates 671
ep    400 | eps 0.38 | catches/ep 4.63 | wolfStates 755 | rabbitStates 671
ep    416 | eps 0.35 | catches/ep 4.88 | wolfStates 755 | rabbitStates 671
ep    432 | eps 0.33 | catches/ep 6.06 | wolfStates 755 | rabbitStates 671
ep    448 | eps 0.30 | catches/ep 5.56 | wolfStates 768 | rabbitStates 671
ep    464 | eps 0.28 | catches/ep 5.31 | wolfStates 768 | rabbitStates 671
ep    480 | eps 0.25 | catches/ep 4.56 | wolfStates 771 | rabbitStates 671
ep    496 | eps 0.23 | catches/ep 4.06 | wolfStates 772 | rabbitStates 671
ep    512 | eps 0.20 | catches/ep 6.00 | wolfStates 778 | rabbitStates 671
ep    528 | eps 0.18 | catches/ep 6.06 | wolfStates 783 | rabbitStates 671
ep    544 | eps 0.15 | catches/ep 4.81 | wolfStates 793 | rabbitStates 671
ep    560 | eps 0.13 | catches/ep 4.75 | wolfStates 802 | rabbitStates 671
ep    576 | eps 0.10 | catches/ep 6.13 | wolfStates 807 | rabbitStates 671
ep    592 | eps 0.08 | catches/ep 3.94 | wolfStates 807 | rabbitStates 671
ep    608 | eps 0.05 | catches/ep 7.13 | wolfStates 821 | rabbitStates 671
ep    624 | eps 0.05 | catches/ep 6.56 | wolfStates 822 | rabbitStates 671
ep    640 | eps 0.05 | catches/ep 5.69 | wolfStates 827 | rabbitStates 671
ep    656 | eps 0.05 | catches/ep 6.81 | wolfStates 827 | rabbitStates 671
ep    672 | eps 0.05 | catches/ep 6.00 | wolfStates 830 | rabbitStates 671
ep    688 | eps 0.05 | catches/ep 6.50 | wolfStates 832 | rabbitStates 671
ep    704 | eps 0.05 | catches/ep 6.56 | wolfStates 835 | rabbitStates 671
ep    720 | eps 0.05 | catches/ep 5.81 | wolfStates 840 | rabbitStates 671
ep    736 | eps 0.05 | catches/ep 4.94 | wolfStates 841 | rabbitStates 671
ep    752 | eps 0.05 | catches/ep 5.56 | wolfStates 842 | rabbitStates 671
ep    768 | eps 0.05 | catches/ep 4.00 | wolfStates 842 | rabbitStates 671
ep    784 | eps 0.05 | catches/ep 4.56 | wolfStates 843 | rabbitStates 671
ep    800 | eps 0.05 | catches/ep 6.44 | wolfStates 849 | rabbitStates 671
Xong 1574.1s (catches/ep 5.22). Luu /Volumes/DEV/OOP JAVA/PRJ/OOP-PRJ/qtables/mc_wolf.qtable (849 trang thai)
