Train SOI (tho RBS co dinh): 800 ep, 800 step/ep. Bang soi: 0 trang thai
ep     16 | eps 0.98 | catches/ep 4.00 | wolfStates 427 | rabbitStates 1233
ep     32 | eps 0.95 | catches/ep 5.25 | wolfStates 532 | rabbitStates 1233
ep     48 | eps 0.93 | catches/ep 3.75 | wolfStates 567 | rabbitStates 1233
ep     64 | eps 0.90 | catches/ep 5.31 | wolfStates 585 | rabbitStates 1233
ep     80 | eps 0.88 | catches/ep 5.63 | wolfStates 611 | rabbitStates 1233
ep     96 | eps 0.85 | catches/ep 5.00 | wolfStates 619 | rabbitStates 1233
ep    112 | eps 0.83 | catches/ep 5.38 | wolfStates 621 | rabbitStates 1233
ep    128 | eps 0.80 | catches/ep 5.81 | wolfStates 639 | rabbitStates 1233
ep    144 | eps 0.78 | catches/ep 4.38 | wolfStates 639 | rabbitStates 1233
ep    160 | eps 0.75 | catches/ep 5.75 | wolfStates 647 | rabbitStates 1233
ep    176 | eps 0.73 | catches/ep 4.56 | wolfStates 654 | rabbitStates 1233
ep    192 | eps 0.70 | catches/ep 4.81 | wolfStates 661 | rabbitStates 1233
ep    208 | eps 0.68 | catches/ep 5.25 | wolfStates 662 | rabbitStates 1233
ep    224 | eps 0.65 | catches/ep 4.50 | wolfStates 664 | rabbitStates 1233
ep    240 | eps 0.63 | catches/ep 4.63 | wolfStates 669 | rabbitStates 1233
ep    256 | eps 0.60 | catches/ep 4.94 | wolfStates 677 | rabbitStates 1233
ep    272 | eps 0.58 | catches/ep 6.13 | wolfStates 684 | rabbitStates 1233
ep    288 | eps 0.55 | catches/ep 6.56 | wolfStates 685 | rabbitStates 1233
ep    304 | eps 0.53 | catches/ep 6.56 | wolfStates 686 | rabbitStates 1233
ep    320 | eps 0.50 | catches/ep 5.75 | wolfStates 686 | rabbitStates 1233
ep    336 | eps 0.48 | catches/ep 6.06 | wolfStates 692 | rabbitStates 1233
ep    352 | eps 0.45 | catches/ep 5.94 | wolfStates 692 | rabbitStates 1233
ep    368 | eps 0.43 | catches/ep 5.63 | wolfStates 692 | rabbitStates 1233
ep    384 | eps 0.40 | catches/ep 6.38 | wolfStates 693 | rabbitStates 1233
ep    400 | eps 0.38 | catches/ep 6.19 | wolfStates 716 | rabbitStates 1233
ep    416 | eps 0.35 | catches/ep 6.06 | wolfStates 720 | rabbitStates 1233
ep    432 | eps 0.33 | catches/ep 5.50 | wolfStates 720 | rabbitStates 1233
ep    448 | eps 0.30 | catches/ep 6.31 | wolfStates 720 | rabbitStates 1233
ep    464 | eps 0.28 | catches/ep 7.19 | wolfStates 727 | rabbitStates 1233
ep    480 | eps 0.25 | catches/ep 5.94 | wolfStates 727 | rabbitStates 1233
ep    496 | eps 0.23 | catches/ep 5.31 | wolfStates 727 | rabbitStates 1233
ep    512 | eps 0.20 | catches/ep 6.19 | wolfStates 727 | rabbitStates 1233
ep    528 | eps 0.18 | catches/ep 5.81 | wolfStates 727 | rabbitStates 1233
ep    544 | eps 0.15 | catches/ep 5.69 | wolfStates 734 | rabbitStates 1233
ep    560 | eps 0.13 | catches/ep 5.81 | wolfStates 734 | rabbitStates 1233
ep    576 | eps 0.10 | catches/ep 5.44 | wolfStates 743 | rabbitStates 1233
ep    592 | eps 0.08 | catches/ep 6.63 | wolfStates 744 | rabbitStates 1233
ep    608 | eps 0.05 | catches/ep 5.56 | wolfStates 748 | rabbitStates 1233
ep    624 | eps 0.05 | catches/ep 6.19 | wolfStates 748 | rabbitStates 1233
ep    640 | eps 0.05 | catches/ep 6.06 | wolfStates 748 | rabbitStates 1233
ep    656 | eps 0.05 | catches/ep 6.06 | wolfStates 752 | rabbitStates 1233
ep    672 | eps 0.05 | catches/ep 6.88 | wolfStates 752 | rabbitStates 1233
ep    688 | eps 0.05 | catches/ep 5.25 | wolfStates 753 | rabbitStates 1233
ep    704 | eps 0.05 | catches/ep 6.69 | wolfStates 753 | rabbitStates 1233
ep    720 | eps 0.05 | catches/ep 5.19 | wolfStates 753 | rabbitStates 1233
ep    736 | eps 0.05 | catches/ep 5.50 | wolfStates 763 | rabbitStates 1233
ep    752 | eps 0.05 | catches/ep 5.38 | wolfStates 770 | rabbitStates 1233
ep    768 | eps 0.05 | catches/ep 5.94 | wolfStates 779 | rabbitStates 1233
ep    784 | eps 0.05 | catches/ep 6.38 | wolfStates 779 | rabbitStates 1233
ep    800 | eps 0.05 | catches/ep 6.25 | wolfStates 784 | rabbitStates 1233
Xong sau 1636.5s (catches/ep 5.67). Da luu /Volumes/DEV/OOP JAVA/PRJ/OOP-PRJ/qtables/wolf.qtable (784 trang thai)
